Job_Title,Education_Level,Risk_Category,Average_Salary,Automation_Probability_2030,AI_Exposure_Index
Security Guard,Master's,High,45795,0.85,0.18
Research Scientist,Bachelor's,Low,133355,0.05,0.62
Construction Worker,Bachelor's,High,146216,0.81,0.86
Software Engineer,PhD,Low,136530,0.6,0.39
Financial Analyst,High School,Medium,70397,0.64,0.52
AI Engineer,Master's,Low,92592,0.1,0.29
Mechanic,Master's,Medium,107373,0.41,0.67
Teacher,Master's,Low,53419,0.17,0.2
HR Specialist,Bachelor's,Medium,139225,0.48,0.3
Customer Support,PhD,High,85016,0.8,0.01
UX Researcher,PhD,Medium,82733,0.41,0.5
Financial Analyst,High School,Medium,117455,0.4,0.67
Lawyer,Master's,Medium,79811,0.5,0.68
Data Scientist,PhD,Low,115981,0.63,0.26
Research Scientist,Bachelor's,Low,96690,0.21,0.89
Graphic Designer,Bachelor's,Medium,32869,0.58,0.65
Teacher,Master's,Low,36893,0.27,0.97
Teacher,Master's,Low,103744,0.28,0.94
Retail Worker,Master's,High,148015,0.93,0.17
Doctor,PhD,Low,108069,0.15,0.55
AI Engineer,Master's,Low,43403,0.06,0.09
HR Specialist,Bachelor's,Medium,49508,0.33,0.22
Teacher,Master's,Low,58251,0.29,0.08
Financial Analyst,High School,Medium,33343,0.54,0.74
AI Engineer,Master's,Low,125435,0.17,0.1
Software Engineer,PhD,Low,39540,0.56,0.16
Mechanic,Master's,Medium,68304,0.33,0.91
Customer Support,PhD,High,33267,0.92,0.7
HR Specialist,Bachelor's,Medium,89031,0.47,0.93
HR Specialist,Bachelor's,Medium,102936,0.68,0.09
Teacher,Master's,Low,114076,0.19,0.49
Retail Worker,Master's,High,69081,0.72,0.82
Retail Worker,Master's,High,102124,0.93,0.56
Truck Driver,Master's,High,91629,0.92,0.37
Teacher,Master's,Low,43843,0.22,0.52
Mechanic,Master's,Medium,59703,0.44,0.19
Mechanic,Master's,Medium,64349,0.59,0.82
Customer Support,PhD,High,92292,0.91,0.38
Chef,Bachelor's,Medium,53524,0.4,0.94
Retail Worker,Master's,High,88017,0.91,0.77
Graphic Designer,Bachelor's,Medium,111317,0.55,0.98
Doctor,PhD,Low,144825,0.07,0.84
Research Scientist,Bachelor's,Low,52415,0.15,0.18
Construction Worker,Bachelor's,High,134680,0.83,0.21
Customer Support,PhD,High,109714,0.93,0.99
Data Scientist,PhD,Low,97067,0.46,0.87
Construction Worker,Bachelor's,High,37561,0.85,0.65
